"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",0
"7",1
"8",0
"9",0
"10",1
"11",0
"12",0
"13",1
"14",0
"15",1
"16",0
"17",0
"18",0
"19",0
"20",1
"21",1
"22",0
"23",1
"24",0
"25",0
"26",1
"27",1
"28",1
"29",1
"30",0
"31",1
"32",0
"33",1
"34",1
"35",1
"36",1
"37",1
"38",0
"39",1
"40",1
"41",1
"42",1
"43",0
"44",1
"45",0
"46",0
"47",1
"48",1
"49",1
"50",0
"51",0
"52",1
"53",0
"54",0
"55",1
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",1
"63",1
"64",1
"65",0
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",0
"73",0
"74",1
"75",1
"76",0
"77",1
"78",1
"79",0
"80",1
"81",1
"82",1
"83",1
"84",0
"85",0
"86",1
"87",0
"88",0
"89",1
"90",1
"91",0
"92",1
"93",1
"94",0
"95",1
"96",1
"97",1
"98",0
"99",0
"100",1
