% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 37.86    0.004293           8       506           read
 22.48    0.002549           5       485        12 open
 15.46    0.001753           5       343         9 stat
 11.15    0.001264           3       476           close
  4.45    0.000505           5       108           write
  3.01    0.000341           4        85           mmap
  2.10    0.000238           5        47           mprotect
  0.87    0.000099           2        42           fstat
  0.78    0.000089           5        17           munmap
  0.41    0.000047           2        24           rt_sigaction
  0.28    0.000032           8         4         1 readlink
  0.26    0.000030          15         2           statfs
  0.21    0.000024          12         2           socket
  0.19    0.000022           7         3         2 access
  0.16    0.000018           9         2         2 connect
  0.05    0.000006           2         3           brk
  0.05    0.000006           3         2           ioctl
  0.04    0.000004           1         3           lseek
  0.04    0.000004           2         2           getdents
  0.02    0.000002           2         1           rt_sigprocmask
  0.02    0.000002           2         1           uname
  0.02    0.000002           2         1           getrlimit
  0.02    0.000002           2         1           geteuid
  0.02    0.000002           2         1           arch_prctl
  0.02    0.000002           2         1           futex
  0.02    0.000002           2         1           set_tid_address
  0.02    0.000002           2         1           set_robust_list
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           openat
------ ----------- ----------- --------- --------- ----------------
100.00    0.011340                  2166        26 total
