strace: Process 1595 detached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 27.15    0.001335           1      1033      1021 close
 26.80    0.001318           3       468           write
 21.64    0.001064           3       355           read
 11.35    0.000558           2       233           alarm
  9.72    0.000478           2       235           rt_sigaction
  1.06    0.000052          52         1           clone
  1.04    0.000051           5        11           open
  0.28    0.000014          14         1           lstat
  0.20    0.000010           5         2           pipe
  0.18    0.000009           0        20           mmap
  0.14    0.000007           4         2           munmap
  0.10    0.000005           1         8           fstat
  0.08    0.000004           2         2           stat
  0.04    0.000002           2         1           lseek
  0.04    0.000002           2         1           umask
  0.04    0.000002           2         1           getuid
  0.04    0.000002           2         1           getgid
  0.04    0.000002           2         1           geteuid
  0.04    0.000002           2         1           getegid
  0.00    0.000000           0        12           mprotect
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         2         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           getrlimit
  0.00    0.000000           0         2           statfs
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.004917                  2403      1022 total
